Link,Title,Location,Salary,Summary
https://kr.indeed.com//rc/clk?jk=63d19b43d3b272ca&fccid=dd616958bd9ddc12&vjs=3,웹/앱 개발자 신입/경력 정규직,서울 용산구,"연봉 30,000,000원 - 35,000,000원","니다. 인터넷·IT·통신·모바일·게임>웹프로그래머>웹개발|인터넷·IT·통신·모바일·게임>응용프로그래머>iOS|인터넷·IT·통신·모바일·게임>응용프로그래머>Android|인터넷·IT·통신·모바일·게임>응용프로그래머>
Python"
https://kr.indeed.com//rc/clk?jk=c21860c294b20700&fccid=58a9a803698a0afd&vjs=3,[쿠키런: 오븐브레이크] 서버 소프트웨어 엔지니어 (신입),서울 강남구,,"트웨어|인터넷·IT·통신·모바일·게임>응용프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++|인터넷·IT·통신·모바일·게임>웹프로그래머>
Python|교육·교사·강사·교직원>IT·문화·직업강사>프로그래밍"
https://kr.indeed.com//rc/clk?jk=ac64fda2e281b835&fccid=a5b4499d9e91a5c6&vjs=3,"Software Engineer, People with Disabilities (장애인 채용)",서울,,"languages, including... limited to: C++, Java, C and 
Python. Experience in a variety of projects utilizing natural..."
https://kr.indeed.com//rc/clk?jk=20abdd225641e77a&fccid=86e9be6ce380173e&vjs=3,"Software QA Infotainment Test Engineer, Bundang, Gyeonggi, K...",경기도 성남,,"one or more scripting languages... Perl, Ruby, 
Python, or Bash Passionate about troubleshooting failures to determine..."
https://kr.indeed.com//rc/clk?jk=bb5ae480fe3200b9&fccid=de71a49b535e21cb&vjs=3,Data Scientist,서울,,"skills in 
Python, and ideally in other languages like R, SQL, Hive Sql, C++ • Hands-on experience with 
Python libraries..."
https://kr.indeed.com//rc/clk?jk=182ff131c1605ce2&fccid=bbb44b94ab8f66a9&vjs=3,"경남 ICT 이노베이션스퀘어 사업 인공지능, 블록체인 교육생",창원 마산회원구,,"게임>빅데이터·AI(인공지능)>
Python|인터넷·IT·통신·모바일·게임... 로그래머>인공지능(AI)|인터넷·IT·통신·모바일·게임>응용프로그래머>
Python|인터넷·IT·통신·모바일·게임>응용프로그래머>머신러닝(ML)|인터넷..."
https://kr.indeed.com//rc/clk?jk=d8a8869ab092f731&fccid=32b9af632cf3b9f9&vjs=3,데이터 엔지니어 및 사이언티스트,성남 판교역,,"등 데이터 엔지니어와 사이언티스트의 업무를 경계 없이 수행하게 됩니다. 지원자격 개발 경력 3년 이상 
Python, Scala, Java, C++ 중 하나 이상의 언어에 능통 SQL 또는 HiveQL에 능통 대용량 데이..."
https://kr.indeed.com//rc/clk?jk=aac8e9355cb855ac&fccid=617d7f961cfcf54a&vjs=3,[인재풀] 아티스트,서울,,"Maya or 3D Max등의 아트웍 툴 사용 경험 Max script 또는 Mel Script의 사용 경험 C# 또는 
Python 언어에 대한 이해 및 활용 능력 아트웍 관련 툴 제작 또는 플러그인 제작 경험"
https://kr.indeed.com//rc/clk?jk=3cf01580ba5eb23a&fccid=9be12e4be3d1efa6&vjs=3,NLP Researcher,서울,,"Stacks [Back-end] Language: 
python, golang 
Python Framework: Django, Bottle [Front... Language: 
python, golang 
Python Framework..."
https://kr.indeed.com//rc/clk?jk=fcfc53a347485341&fccid=205b02ce77cbf40e&vjs=3,Vision AI Engineer,대한민국,,"좋아하고 팀원들과 소통하며 함께 성장하는 것을 추구하시는 분 다음 중 하나 이상의 언어에 능숙하신 분 (
Python/C, C++/Java/Object C/Swift/Kotlin) 우대사항 석사 또는 박사 학위를 보유하신 분..."
